６６年前,1288,1288,3804,名詞,固有名詞,一般,*,*,*,66年前,ロクジュウロクネンマエ,ロクジュウロクネンマエ
六十六年前,1288,1288,-125,名詞,固有名詞,一般,*,*,*,66年前,ロクジュウロクネンマエ,ロクジューロクネンマエ
６７年前,1288,1288,4470,名詞,固有名詞,一般,*,*,*,67年前,ロクジュウナナネンマエ,ロクジュウナナネンマエ
六十七年前,1288,1288,392,名詞,固有名詞,一般,*,*,*,67年前,ロクジュウナナネンマエ,ロクジューナナネンマエ
６８年前,1288,1288,4273,名詞,固有名詞,一般,*,*,*,68年前,ロクジュウハチネンマエ,ロクジュウハチネンマエ
六十八年前,1288,1288,1018,名詞,固有名詞,一般,*,*,*,68年前,ロクジュウハチネンマエ,ロクジューハチネンマエ
６９年前,1288,1288,5485,名詞,固有名詞,一般,*,*,*,69年前,ロクジュウキュウネンマエ,ロクジュウキューネンマエ
六十九年前,1288,1288,1506,名詞,固有名詞,一般,*,*,*,69年前,ロクジュウキュウネンマエ,ロクジューキューネンマエ
７０年前,1288,1288,4577,名詞,固有名詞,一般,*,*,*,70年前,ナナジュウネンマエ,ナナジュウネンマエ
七十年前,1288,1288,1979,名詞,固有名詞,一般,*,*,*,70年前,ナナジュウネンマエ,ナナジューネンマエ
７１年前,1288,1288,3872,名詞,固有名詞,一般,*,*,*,71年前,ナナジュウイチネンマエ,ナナジュウイチネンマエ
七十一年前,1288,1288,1404,名詞,固有名詞,一般,*,*,*,71年前,ナナジュウイチネンマエ,ナナジューイチネンマエ
７２年前,1288,1288,5119,名詞,固有名詞,一般,*,*,*,72年前,ナナジュウニネンマエ,ナナジュウニネンマエ
七十二年前,1288,1288,838,名詞,固有名詞,一般,*,*,*,72年前,ナナジュウニネンマエ,ナナジューニネンマエ
７３年前,1288,1288,4789,名詞,固有名詞,一般,*,*,*,73年前,ナナジュウサンネンマエ,ナナジュウサンネンマエ
七十三年前,1288,1288,650,名詞,固有名詞,一般,*,*,*,73年前,ナナジュウサンネンマエ,ナナジューサンネンマエ
７４年前,1288,1288,5085,名詞,固有名詞,一般,*,*,*,74年前,ナナジュウヨンネンマエ,ナナジュウヨンネンマエ
七十四年前,1288,1288,1512,名詞,固有名詞,一般,*,*,*,74年前,ナナジュウヨンネンマエ,ナナジューヨンネンマエ
７５年前,1288,1288,3995,名詞,固有名詞,一般,*,*,*,75年前,ナナジュウゴネンマエ,ナナジュウゴネンマエ
七十五年前,1288,1288,1547,名詞,固有名詞,一般,*,*,*,75年前,ナナジュウゴネンマエ,ナナジューゴネンマエ
７６年前,1288,1288,4470,名詞,固有名詞,一般,*,*,*,76年前,ナナジュウロクネンマエ,ナナジュウロクネンマエ
七十六年前,1288,1288,392,名詞,固有名詞,一般,*,*,*,76年前,ナナジュウロクネンマエ,ナナジューロクネンマエ
７７年前,1288,1288,5136,名詞,固有名詞,一般,*,*,*,77年前,ナナジュウナナネンマエ,ナナジュウナナネンマエ
七十七年前,1288,1288,907,名詞,固有名詞,一般,*,*,*,77年前,ナナジュウナナネンマエ,ナナジューナナネンマエ
７８年前,1288,1288,4939,名詞,固有名詞,一般,*,*,*,78年前,ナナジュウハチネンマエ,ナナジュウハチネンマエ
七十八年前,1288,1288,1533,名詞,固有名詞,一般,*,*,*,78年前,ナナジュウハチネンマエ,ナナジューハチネンマエ
７９年前,1288,1288,6151,名詞,固有名詞,一般,*,*,*,79年前,ナナジュウキュウネンマエ,ナナジュウキューネンマエ
七十九年前,1288,1288,2021,名詞,固有名詞,一般,*,*,*,79年前,ナナジュウキュウネンマエ,ナナジューキューネンマエ
８０年前,1288,1288,4380,名詞,固有名詞,一般,*,*,*,80年前,ハチジュウネンマエ,ハチジュウネンマエ
八十年前,1288,1288,2604,名詞,固有名詞,一般,*,*,*,80年前,ハチジュウネンマエ,ハチジューネンマエ
８１年前,1288,1288,3675,名詞,固有名詞,一般,*,*,*,81年前,ハチジュウイチネンマエ,ハチジュウイチネンマエ
八十一年前,1288,1288,2029,名詞,固有名詞,一般,*,*,*,81年前,ハチジュウイチネンマエ,ハチジューイチネンマエ
８２年前,1288,1288,4922,名詞,固有名詞,一般,*,*,*,82年前,ハチジュウニネンマエ,ハチジュウニネンマエ
八十二年前,1288,1288,1462,名詞,固有名詞,一般,*,*,*,82年前,ハチジュウニネンマエ,ハチジューニネンマエ
８３年前,1288,1288,4592,名詞,固有名詞,一般,*,*,*,83年前,ハチジュウサンネンマエ,ハチジュウサンネンマエ
八十三年前,1288,1288,1275,名詞,固有名詞,一般,*,*,*,83年前,ハチジュウサンネンマエ,ハチジューサンネンマエ
８４年前,1288,1288,4888,名詞,固有名詞,一般,*,*,*,84年前,ハチジュウヨンネンマエ,ハチジュウヨンネンマエ
八十四年前,1288,1288,2136,名詞,固有名詞,一般,*,*,*,84年前,ハチジュウヨンネンマエ,ハチジューヨンネンマエ
８５年前,1288,1288,3798,名詞,固有名詞,一般,*,*,*,85年前,ハチジュウゴネンマエ,ハチジュウゴネンマエ
八十五年前,1288,1288,2172,名詞,固有名詞,一般,*,*,*,85年前,ハチジュウゴネンマエ,ハチジューゴネンマエ
８６年前,1288,1288,4273,名詞,固有名詞,一般,*,*,*,86年前,ハチジュウロクネンマエ,ハチジュウロクネンマエ
八十六年前,1288,1288,1017,名詞,固有名詞,一般,*,*,*,86年前,ハチジュウロクネンマエ,ハチジューロクネンマエ
８７年前,1288,1288,4939,名詞,固有名詞,一般,*,*,*,87年前,ハチジュウナナネンマエ,ハチジュウナナネンマエ
八十七年前,1288,1288,1532,名詞,固有名詞,一般,*,*,*,87年前,ハチジュウナナネンマエ,ハチジューナナネンマエ
８８年前,1288,1288,4742,名詞,固有名詞,一般,*,*,*,88年前,ハチジュウハチネンマエ,ハチジュウハチネンマエ
八十八年前,1288,1288,2157,名詞,固有名詞,一般,*,*,*,88年前,ハチジュウハチネンマエ,ハチジューハチネンマエ
８９年前,1288,1288,5954,名詞,固有名詞,一般,*,*,*,89年前,ハチジュウキュウネンマエ,ハチジュウキューネンマエ
八十九年前,1288,1288,2645,名詞,固有名詞,一般,*,*,*,89年前,ハチジュウキュウネンマエ,ハチジューキューネンマエ
９０年前,1288,1288,5592,名詞,固有名詞,一般,*,*,*,90年前,キュウジュウネンマエ,キュージュウネンマエ
九十年前,1288,1288,3092,名詞,固有名詞,一般,*,*,*,90年前,キュウジュウネンマエ,キュージューネンマエ
９１年前,1288,1288,4887,名詞,固有名詞,一般,*,*,*,91年前,キュウジュウイチネンマエ,キュージュウイチネンマエ
九十一年前,1288,1288,2517,名詞,固有名詞,一般,*,*,*,91年前,キュウジュウイチネンマエ,キュージューイチネンマエ
９２年前,1288,1288,6134,名詞,固有名詞,一般,*,*,*,92年前,キュウジュウニネンマエ,キュージュウニネンマエ
九十二年前,1288,1288,1950,名詞,固有名詞,一般,*,*,*,92年前,キュウジュウニネンマエ,キュージューニネンマエ
９３年前,1288,1288,5803,名詞,固有名詞,一般,*,*,*,93年前,キュウジュウサンネンマエ,キュージュウサンネンマエ
九十三年前,1288,1288,1763,名詞,固有名詞,一般,*,*,*,93年前,キュウジュウサンネンマエ,キュージューサンネンマエ
９４年前,1288,1288,6099,名詞,固有名詞,一般,*,*,*,94年前,キュウジュウヨンネンマエ,キュージュウヨンネンマエ
九十四年前,1288,1288,2624,名詞,固有名詞,一般,*,*,*,94年前,キュウジュウヨンネンマエ,キュージューヨンネンマエ
９５年前,1288,1288,5009,名詞,固有名詞,一般,*,*,*,95年前,キュウジュウゴネンマエ,キュージュウゴネンマエ
九十五年前,1288,1288,2660,名詞,固有名詞,一般,*,*,*,95年前,キュウジュウゴネンマエ,キュージューゴネンマエ
９６年前,1288,1288,5485,名詞,固有名詞,一般,*,*,*,96年前,キュウジュウロクネンマエ,キュージュウロクネンマエ
九十六年前,1288,1288,1505,名詞,固有名詞,一般,*,*,*,96年前,キュウジュウロクネンマエ,キュージューロクネンマエ
９７年前,1288,1288,6151,名詞,固有名詞,一般,*,*,*,97年前,キュウジュウナナネンマエ,キュージュウナナネンマエ
九十七年前,1288,1288,2020,名詞,固有名詞,一般,*,*,*,97年前,キュウジュウナナネンマエ,キュージューナナネンマエ
９８年前,1288,1288,5954,名詞,固有名詞,一般,*,*,*,98年前,キュウジュウハチネンマエ,キュージュウハチネンマエ
九十八年前,1288,1288,2645,名詞,固有名詞,一般,*,*,*,98年前,キュウジュウハチネンマエ,キュージューハチネンマエ
９９年前,1288,1288,7166,名詞,固有名詞,一般,*,*,*,99年前,キュウジュウキュウネンマエ,キュージュウキューネンマエ
九十九年前,1288,1288,3133,名詞,固有名詞,一般,*,*,*,99年前,キュウジュウキュウネンマエ,キュージューキューネンマエ
１００年前,1288,1288,3207,名詞,固有名詞,一般,*,*,*,100年前,ヒャクネンマエ,ヒャクネンマエ
百年前,1288,1288,2665,名詞,固有名詞,一般,*,*,*,100年前,ヒャクネンマエ,ヒャクネンマエ
１年後,1288,1288,2724,名詞,固有名詞,一般,*,*,*,1年後,イチネンゴ,イチネンゴ
一年後,1288,1288,2960,名詞,固有名詞,一般,*,*,*,1年後,イチネンゴ,イチネンゴ
２年後,1288,1288,3971,名詞,固有名詞,一般,*,*,*,2年後,ニネンゴ,ニネンゴ
二年後,1288,1288,2395,名詞,固有名詞,一般,*,*,*,2年後,ニネンゴ,ニネンゴ
３年後,1288,1288,3640,名詞,固有名詞,一般,*,*,*,3年後,サンネンゴ,サンネンゴ
三年後,1288,1288,2208,名詞,固有名詞,一般,*,*,*,3年後,サンネンゴ,サンネンゴ
４年後,1288,1288,3936,名詞,固有名詞,一般,*,*,*,4年後,ヨンネンゴ,ヨンネンゴ
四年後,1288,1288,3068,名詞,固有名詞,一般,*,*,*,4年後,ヨンネンゴ,ヨンネンゴ
５年後,1288,1288,2846,名詞,固有名詞,一般,*,*,*,5年後,ゴネンゴ,ゴネンゴ
五年後,1288,1288,3104,名詞,固有名詞,一般,*,*,*,5年後,ゴネンゴ,ゴネンゴ
６年後,1288,1288,3321,名詞,固有名詞,一般,*,*,*,6年後,ロクネンゴ,ロクネンゴ
六年後,1288,1288,1949,名詞,固有名詞,一般,*,*,*,6年後,ロクネンゴ,ロクネンゴ
７年後,1288,1288,3988,名詞,固有名詞,一般,*,*,*,7年後,ナナネンゴ,ナナネンゴ
七年後,1288,1288,2464,名詞,固有名詞,一般,*,*,*,7年後,ナナネンゴ,ナナネンゴ
８年後,1288,1288,3791,名詞,固有名詞,一般,*,*,*,8年後,ハチネンゴ,ハチネンゴ
八年後,1288,1288,3089,名詞,固有名詞,一般,*,*,*,8年後,ハチネンゴ,ハチネンゴ
９年後,1288,1288,5002,名詞,固有名詞,一般,*,*,*,9年後,キュウネンゴ,キューネンゴ
九年後,1288,1288,3577,名詞,固有名詞,一般,*,*,*,9年後,キュウネンゴ,キューネンゴ
１０年後,1288,1288,2736,名詞,固有名詞,一般,*,*,*,10年後,ジュウネンゴ,ジュウネンゴ
十年後,1288,1288,2355,名詞,固有名詞,一般,*,*,*,10年後,ジュウネンゴ,ジューネンゴ
１１年後,1288,1288,2031,名詞,固有名詞,一般,*,*,*,11年後,ジュウイチネンゴ,ジュウイチネンゴ
十一年後,1288,1288,1899,名詞,固有名詞,一般,*,*,*,11年後,ジュウイチネンゴ,ジューイチネンゴ
１２年後,1288,1288,3279,名詞,固有名詞,一般,*,*,*,12年後,ジュウニネンゴ,ジュウニネンゴ
十二年後,1288,1288,1333,名詞,固有名詞,一般,*,*,*,12年後,ジュウニネンゴ,ジューニネンゴ
１３年後,1288,1288,2948,名詞,固有名詞,一般,*,*,*,13年後,ジュウサンネンゴ,ジュウサンネンゴ
十三年後,1288,1288,1145,名詞,固有名詞,一般,*,*,*,13年後,ジュウサンネンゴ,ジューサンネンゴ
